Title,Introduction,Genres,Developer,Publisher,Average Rating,Rating_100,Rating_90,Rating_80,Rating_70,Rating_60,Rating_50,Rating_40,Rating_30,Rating_20,Rating_10,Retirement,Platforms,ImageURL,PC,PlayStation 5,Xbox Series X/S,Mac,Nintendo Switch,PlayStation 4,Xbox One,Amazon Luna,Google Stadia,Mobile
Cult of the Lamb,"Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland worshippers and spread your Word to become the one true cult.","Action, Roguelike",Massive Monster,Devolver Digital,81%,129,317,441,156,58,12,10,2,2,1,4.30%,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/d/d4/Cult_of_the_Lamb_Key_Art.png,81,81,81,,81,72,85,,,
LEGO Star Wars: The Skywalker Saga,"The galaxy is yours with LEGO Star Wars: The Skywalker Saga! Play through all nine saga films in a brand-new video game unlike any other. Fly across space to the saga’s most memorable planets, in any order, at any time. A galaxy far, far away has never been more fun!","Third-Person, Action, Adventure",TT Games,Warner Bros. Interactive Entertainment,76%,57,139,240,153,78,22,12,4,4,2,4.70%,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/0/0a/Lego_Star_Wars_The_Skywalker_Saga.jpg,77,76,74,,75,77,72,,,
Baldur's Gate 3,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome.","Isometric, Third-Person, Turn-Based, Role-Playing",Larian Studios,Larian Studios,93%,1682,475,168,65,24,15,8,2,2,9,2.90%,"Mac, PC, PlayStation 5, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/1/12/Baldur%27s_Gate_3_cover_art.jpg,94,93,92,78,,,,,,
Hogwarts Legacy,"Experience Hogwarts in the 1800s. Your character is a student who holds the key to an ancient secret that threatens to tear the wizarding world apart. Make allies, battle Dark wizards and decide the fate of the wizarding world.","Third-Person, Action, Adventure, Open World, Role-Playing",Avalanche Software,Warner Bros. Games,79%,284,620,863,402,124,55,31,13,4,4,4%,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/3/3d/Hogwarts_Legacy_key_art.jpg,79,79,83,,80,78,86,,,
Hi-Fi Rush,"When a corporate experiment goes wrong, wannabe rock star Chai gets a music player fused to his power unit that syncs everything he does to the beat! Now it's time to fight back against the megacorp's evil schemes!","Third-Person, Action, Music/Rhythm",Tango Gameworks,"Bethesda Softworks, Xbox Game Studios",86%,447,646,424,115,36,18,6,3,2,0,3.70%,"PC, PlayStation 5, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/f/fc/Hi-Fi_Rush_cover_art.jpg,87,88,86,,,,,,,
Resident Evil 4 (2023),"Resident Evil 4 has reawakened for a new generation of terror fans, powered by RE Engine to deliver modernized gameplay, a reimagined storyline, and vividly detailed graphics while still preserving the essence of the 2005 original.","Third-Person, Horror, Shooter, Survival",Capcom,Capcom,91%,1086,837,282,68,15,6,2,0,0,0,0.90%,"Mobile, PC, PlayStation 4, PlayStation 5, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/d/df/Resident_Evil_4_remake_cover_art.jpg,91,92,93,,,91,,,,
Dead Space (2023),"The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original game’s thrilling vision.","Third-Person, Horror, Shooter, Survival",Motive Studio,Electronic Arts,85%,293,538,274,99,44,19,12,7,1,4,2%,"PC, PlayStation 5, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/3/36/Dead_Space_2022_Teaser_Art.jpg,84,84,85,,,,,,,
Final Fantasy XVI,"For centuries, people have flocked to her Mothercrystals to partake of their blessing—the abundant aether that fuels the magicks they rely upon in their everyday lives. As the aether begins to fade and the lifeless deadlands spread ever further, so too does the struggle for possession of the final flickers of the Mothers' light grow ever more fierce. Yet amidst the gathering storm, there are those who believe that the legacy of the crystals has shaped mankind's destiny for long enough.","Third-Person, Action, Role-Playing",Square Enix Creative Business Unit III,Square Enix,83%,341,608,438,164,83,24,11,6,1,3,1.40%,"PC, PlayStation 5",https://upload.wikimedia.org/wikipedia/en/0/00/Final_Fantasy_XVI_cover_art.png,82,83,,,,,,,,
Star Wars Jedi: Survivor,Star Wars Jedi: Survivor picks up five years after the events of Star Wars Jedi: Fallen Order. Cal must stay one step ahead of the Empire’s constant pursuit as he continues to feel the weight of being one of the last remaining Jedi in the galaxy.,"Action, Adventure, Open World",Respawn Entertainment,Electronic Arts,83%,188,596,467,154,48,16,9,2,1,0,1.50%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/4/43/Star_Wars_Jedi_Survivor.jpg,82,83,84,,,70,,,,
The Talos Principle II,The Talos Principle 2 is a thought-provoking first-person puzzle experience that greatly expands on the first game's philosophical themes and stunning environments with increasingly mind-bending challenges.,"Adventure, Puzzle",Croteam,Devolver Digital,89%,62,85,31,7,1,1,1,0,0,1,1.60%,"PC, PlayStation 5, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/a/a3/The_Talos_Principle_2_cover_art.jpg,89,87,80,,,,,,,
Pizza Tower,"Pizza Tower is a fast paced 2D platformer inspired by the Wario Land series, with an emphasis on movement, exploration and score attack. Featuring highly stylized pixel art inspired by the cartoons from the '90s, and a highly energetic soundtrack.","Side, Action, Platform",Tour De Pizza,Tour De Pizza,88%,98,100,46,22,2,1,1,0,1,1,3.20%,"Nintendo Switch, PC",https://upload.wikimedia.org/wikipedia/en/6/60/Pizza_Tower_Promo_Art.jpg,89,,,,80,,,,,
Octopath Traveler II,"The story takes place in Solistia, a land comprising an eastern and western continent divided by the sea. It is a bustling era, wherein large vessels navigate busy sea routes and the power of steam gives birth to new technologies. Some people thrill to glamorous stars of the stage and industry, while others are brought to tears by war, plague, and poverty. In this faraway realm, eight travelers hailing from different regions venture forth for their own reasons. Step into their shoes and explore the land as you see fit, using their unique talents to aid you along your journey. Begin your adventure as one of eight new travelers, each with their own origins, motivations, and unique skills. Each traveler has a unique set of Path Actions they can use to battle townspeople, obtain items, take others along in their travels, and more. Where will you go? What will you do? Every path is yours to take.","Side, Turn-Based, Role-Playing","Square Enix, Acquire",Square Enix,87%,134,140,83,32,8,1,2,0,1,0,2.70%,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/4/46/Octopath_Traveler_II_cover_art.jpg,87,87,81,,88,84,80,,,
Starfield,"Starfield is the first new universe in 25 years from Bethesda Game Studios, the award-winning creators of The Elder Scrolls V: Skyrim and Fallout 4. In this next generation role-playing game set amongst the stars, create any character you want and explore with unparalleled freedom as you embark on an epic journey to answer humanity’s greatest mystery.","First-Person, Third-Person, Action, Adventure, Open World, Role-Playing",Bethesda Game Studios,Bethesda Softworks,70%,60,194,318,249,122,50,50,24,14,21,9.90%,"PC, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/6/6d/Bethesda_Starfield.jpg,69,,73,,,,,,,
Atomic Heart,"Atomic Heart is an adventure first-person shooter, events of which unfolds in an alternate universe during the high noon of the Soviet Union. The principal character of the game is a special agent P-3, who after an unsuccessful landing on enterprise ""3826"" is trying to figure out what went wrong.","First-Person, Shooter",Mundfish,Mundfish,72%,30,115,275,222,108,42,23,11,4,1,9.10%,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S",https://upload.wikimedia.org/wikipedia/en/d/d3/Atomic_Heart_cover.jpg,73,75,71,,,63,72,,,
